Country,GDP,Life_Expectancy,Continent
Afghanistan,"$19,101,353,833 ",64.5,Asia
Albania,"$15,278,077,447 ",78.5,Europe
Algeria,"$169,988,236,398 ",76.7,Africa
Angola,"$94,635,415,870 ",60.8,Africa
Argentina,"$449,663,446,954 ",76.5,South America
Armenia,"$13,672,802,158 ",74.9,Asia
Australia,"$1,392,680,589,329 ",82.7,Oceania
Austria,"$446,314,739,528 ",81.6,Europe
Azerbaijan,"$39,207,000,000 ",72.9,Asia
The Bahamas,"$12,827,000,000 ",73.8,North America
Bahrain,"$38,574,069,149 ",77.2,Asia
Bangladesh,"$302,571,254,131 ",72.3,Asia
Barbados,"$5,209,000,000 ",79.1,South America
Belgium,"$529,606,710,418 ",81.6,Europe
Belize,"$1,879,613,600 ",74.5,North America
Benin,"$14,390,709,095 ",61.5,Africa
Bhutan,"$2,446,674,101 ",71.5,Asia
Botswana,"$18,340,510,789 ",69.3,Africa
Brazil,"$1,839,758,040,766 ",75.7,South America
Brunei,"$13,469,422,941 ",75.7,Asia
Bulgaria,"$86,000,000,000 ",74.9,Europe
Burkina Faso,"$15,745,810,235 ",61.2,Africa
Burundi,"$3,012,334,882 ",61.2,Africa
Ivory Coast,"$58,792,205,642 ",57.4,Africa
Cape Verde,"$1,981,845,741 ",72.8,Africa
Cambodia,"$27,089,389,787 ",69.6,Asia
Cameroon,"$38,760,467,033 ",58.9,Africa
Canada,"$1,736,425,629,520 ",81.9,North America
Central African Republic,"$2,220,307,369 ",52.8,Africa
Chad,"$11,314,951,343 ",54,Africa
Chile,"$282,318,159,745 ",80,South America
China,"$19,910,000,000,000 ",77,Asia
Colombia,"$323,802,808,108 ",77.1,South America
Comoros,"$1,185,728,677 ",64.1,Africa
Congo,"$10,820,591,131 ",64.3,Africa
Costa Rica,"$61,773,944,174 ",80.1,North America
Croatia,"$60,415,553,039 ",78.1,Europe
Cyprus,"$24,564,647,935 ",80.8,Europe
Czech Republic,"$246,489,245,495 ",79,Europe
Dem. Rep. Congo,"$47,319,624,204 ",60.4,Africa
Denmark,"$348,078,018,464 ",81,Europe
Djibouti,"$3,318,716,359 ",66.6,Africa
Dominican Rep.,"$88,941,298,258 ",73.9,North America
Ecuador,"$107,435,665,000 ",76.8,South America
Egypt,"$303,175,127,598 ",71.8,Africa
El Salvador,"$27,022,640,000 ",73.1,North America
Eq. Guinea,"$11,026,774,945 ",58.4,Africa
Estonia,"$31,386,949,981 ",78.2,Europe
Ethiopia,"$96,107,662,398 ",66.2,Africa
Fiji,"$5,535,548,972 ",67.3,Oceania
Finland,"$268,761,201,365 ",81.7,Europe
France,"$2,715,518,274,227 ",82.5,Europe
Gabon,"$16,657,960,228 ",66.2,Africa
The Gambia,"$1,763,819,048 ",61.7,Africa
Georgia,"$17,743,195,770 ",73.6,Asia
Germany,"$3,845,630,030,824 ",80.9,Europe
Ghana,"$66,983,634,224 ",63.8,Africa
Greece,"$209,852,761,469 ",81.3,Europe
Guatemala,"$76,710,385,880 ",74.1,North America
Guinea,"$13,590,281,809 ",61.2,Oceania
Guinea-Bissau,"$1,340,389,411 ",58,Africa
Guyana,"$4,280,443,645 ",69.8,South America
Haiti,"$8,498,981,821 ",63.7,North America
Honduras,"$25,095,395,475 ",75.1,North America
Hungary,"$160,967,157,504 ",75.8,Europe
Iceland,"$24,188,035,739 ",82.7,Europe
India,"$2,611,000,000,000 ",69.4,Asia
Indonesia,"$1,119,190,780,753 ",71.5,Asia
Iran,"$445,345,282,123 ",76.5,Asia
Iraq,"$234,094,042,939 ",70.5,Asia
Ireland,"$388,698,711,348 ",82.3,Europe
Israel,"$395,098,666,122 ",82.8,Asia
Italy,"$2,001,244,392,042 ",82.9,Europe
Jamaica,"$16,458,071,068 ",74.4,North America
Japan,"$5,081,769,542,380 ",84.2,Asia
Jordan,"$43,743,661,972 ",74.4,Asia
Kazakhstan,"$180,161,741,180 ",73.2,Asia
Kenya,"$95,503,088,538 ",66.3,Africa
Kuwait,"$134,761,198,946 ",75.4,Asia
Kyrgyzstan,"$8,454,619,608 ",71.4,Asia
